Greenbelt,17:00:00,427
Centretown,17:00:00,354
East Industrial,17:00:00,341
Overbrook - McArthur,17:00:00,179
Stonebridge - Halfmoon Bay - Heart's Desire,17:00:00,176
Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,17:00:00,147
West Centretown,17:00:00,141
Civic Hospital - Central Park,17:00:00,140
Glebe - Dows Lake,17:00:00,140
Cummings,17:00:00,137
