highway 417,highway 417,<Null>,0.8,2
highway 417  continuation of highway 417  hwy417 ic144 ramp,highway 417,<Null>,0.8,1
highway 417  hwy417 ic129 ramp,highway 417,<Null>,0.8,1
highway 417  hwy417 ic96 ramp,highway 417,<Null>,0.4,1
highway 417  hwy417 ic96 ramp,highway 417,<Null>,1,1
