Machine Break : Load at Machine Break,5992,N
,,
Time,Extension,Load
(sec),(mm),(N)
96.4,16.061,14233.37013
96.5,16.0777,14206.51972
96.6,16.0945,14185.05013
96.7,16.1112,14158.19973
96.8,16.1279,14131.35976
96.9,16.1447,14109.87973
97,16.1609,14083.03976
97.1,16.1777,14061.55974
97.2,16.1944,14034.70933
97.3,16.2112,14007.86936
97.4,16.2279,13981.02045
97.5,16.2447,13959.54937
97.6,16.2609,13932.70046
97.7,16.2777,13905.86048
97.8,16.2944,13879.01008
97.9,16.3111,13857.54049
98,16.3279,13830.69009
98.1,16.3446,13803.85011
98.2,16.3614,13776.99971
98.3,16.3776,13750.14931
98.4,16.3944,13723.30934
98.5,16.4111,13696.46043
98.6,16.4279,13674.98934
98.7,16.4446,13642.77005
98.8,16.4613,13615.93008
98.9,16.4776,13589.07968
99.2,16.5278,13508.54933
99.3,16.5446,13481.70042
99.4,16.5613,13454.86045
99.5,16.5776,13422.63967
99.6,16.5943,13401.17007
99.7,16.611,13368.94929
99.8,16.6278,13342.10932
99.9,16.6445,13315.26041
100,16.6613,13283.05006
100.1,16.678,13256.19966
100.2,16.6943,13229.35969
100.3,16.711,13197.1404
100.4,16.7278,13170.30042
100.5,16.7445,13138.07964
100.6,16.7612,13111.23967
100.7,16.778,13084.38927
100.8,16.7942,13052.18041
100.9,16.811,13025.33001
101,16.8277,12993.11966
101.1,16.8445,12966.27074
101.2,16.8612,12934.06039
101.3,16.8779,12901.83961
101.4,16.8947,12874.99964
101.5,16.911,12842.78035
101.6,16.9277,12810.57
101.7,16.9444,12778.35071
101.8,16.9612,12746.14036
101.9,16.9779,12719.30039
102,16.9947,12687.07961
102.1,17.0109,12654.86926
102.2,17.0277,12622.64997
102.3,17.0444,12590.43962
102.4,17.0611,12558.22033
102.5,17.0779,12526.00998
102.6,17.0946,12499.16032
102.7,17.1114,12461.58034
102.8,17.1276,12429.36999
102.9,17.1444,12397.14995
103,17.1611,12364.94035
103.1,17.1779,12332.72031
103.2,17.1946,12295.14033
103.3,17.2113,12262.92998
103.4,17.2276,12230.70994
103.5,17.2443,12198.50034
103.6,17.2611,12166.2803
103.7,17.2778,12128.70032
103.8,17.2946,12096.48028
103.9,17.3113,12058.9003
104,17.328,12026.68995
104.1,17.3443,11989.10028
104.2,17.3611,11956.88993
104.3,17.3778,11919.30994
104.4,17.3945,11887.08991
104.5,17.4113,11849.50992
104.6,17.428,11811.92026
104.7,17.4443,11774.34027
104.8,17.461,11742.12992
104.9,17.4778,11699.16987
105,17.4945,11666.96027
105.1,17.5112,11624.00991
105.2,17.528,11586.42024
105.30001,17.5447,11548.84025
105.40001,17.561,11505.88989
105.50001,17.5777,11468.30022
105.60001,17.5945,11371.66023
105.70001,17.6112,10684.42017
105.80001,17.628,10335.42976
105.90001,17.6447,9981.08014
106.00001,17.661,9573.02973
106.10001,17.6777,9186.44965
106.20001,17.6944,8778.40966
106.30001,17.7112,8354.25034
106.40001,17.7279,7946.19992
106.50001,17.7447,7575.73992
106.60001,17.7609,7038.83022
106.70001,17.7777,6405.27979
106.80001,17.7944,5342.21008
